DATASET_TITLE,"Domestic Energy Consumption, 2005",,,,,,FROM,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005,Jan-2005
AREA_TYPE,Local Authority,,,,,,TO,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005,Dec-2005
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000170","Ashfield",,,1136395,112057,93832,930506,31127,3600,19172,4894,46538,19995
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000171","Bassetlaw",,,948342,118607,103338,726397,30425,3898,18151,5693,36897,19687
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000172","Broxtowe",,,1110042,92807,109458,907778,25846,3591,21723,5039,45595,19910
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000173","Gedling",,,1159107,90216,131843,937049,24436,3692,25040,5265,45145,20756
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000174","Mansfield",,,1018010,103625,75665,838719,30117,3441,16318,4637,41162,20376
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000175","Newark and Sherwood",,,1023765,100239,128171,795355,26104,3840,23023,5567,39886,19941
"E12000004","East Midlands","E10000024","Nottinghamshire","E07000176","Rushcliffe",,,1107246,85026,133165,889055,21728,3913,23913,5569,41078,21643
"E12000005","West Midlands",,,"E06000019","Herefordshire, County of",,,1199992,260111,158582,781300,55027,4727,18025,8798,45924,17013
"E12000005","West Midlands",,,"E06000020","Telford and Wrekin",,,1354161,222659,50344,1081158,51680,4308,7150,7041,61460,17591
"E12000005","West Midlands",,,"E06000021","Stoke-on-Trent",,,2313803,317510,78187,1918106,85914,3696,10880,7186,103357,18558
"E12000005","West Midlands",,,"E06000051","Shropshire",,,2089621,436869,205763,1446990,96512,4527,23027,8936,80145,18055
"E12000005","West Midlands","E10000028","Staffordshire","E07000192","Cannock Chase",,,908441,132801,38590,737049,30339,4377,5426,7112,36730,20067
"E12000005","West Midlands","E10000028","Staffordshire","E07000193","East Staffordshire",,,947142,81238,143335,722570,20793,3907,25858,5543,39075,18492
"E12000005","West Midlands","E10000028","Staffordshire","E07000194","Lichfield",,,953686,136318,56978,760390,28681,4753,7628,7470,36049,21093
"E12000005","West Midlands","E10000028","Staffordshire","E07000195","Newcastle-under-Lyme",,,1191946,167498,42310,982138,41217,4064,5759,7347,47814,20541
"E12000005","West Midlands","E10000028","Staffordshire","E07000196","South Staffordshire",,,986450,162466,43118,780866,34289,4738,5467,7887,37949,20577
"E12000005","West Midlands","E10000028","Staffordshire","E07000197","Stafford",,,1121326,172184,74357,874784,38760,4442,9862,7540,43776,19983
"E12000005","West Midlands","E10000028","Staffordshire","E07000198","Staffordshire Moorlands",,,899849,136473,42478,720898,31305,4359,5092,8342,33891,21271
"E12000005","West Midlands","E10000028","Staffordshire","E07000199","Tamworth",,,664473,65332,83490,515652,16232,4025,15224,5484,28237,18262
